english,polish,alternatives
achievement,1.  osiągnięcie,"wyczyn
 2.  spełnienie|əˈʧi:vmənt"
acid,ˈæsɪd,
acidic,kwasowy,əˈsɪdɪk
acidity,"1.  kwasowość
 2.  jadowitość",əˈsɪdɪtɪ
ack,"ack.
  potwierdzony",
acknowledge,əkˈnɒlɪʤ,
acknowledgement,əkˈnɒlɪʤmənt,
acne,trądzik,ˈæknɪ
acorn,żołądź,ˈeɪkɔ:n
acoustic,akustyczny,əˈku:stɪk
acoustics,akustyka,əˈku:stɪks
acquaint,zaznajamiać się,əˈkweɪnt
acquaintance,əˈkweɪntəns,
acquiesce,zgadzać się,ˌækwɪˈes
acquire,"1.  zdobywać
 2.  nabywać",əˈkwaɪə
acquisition,1.  nabytek,"zdobycz
 2.  nabycie|ˌækwɪˈzɪʃən"
acquit,zachowywać się,əˈkwɪt
acquittal,uniewinnienie,əˈkwɪtəl
acrid,ˈækrɪd,
acrimonious,ostry,ˌækrɪˈməʊnɪəs
acrimony,zażartość,ˈækrɪmənɪ
acrobat,akrobata,ˈækrəbæt
acrobatic,ˌækrəˈbætɪk,
across,əˈkrɒs,
act,popisywać się,ækt
acting,pełniący obowiązki,ˈæktɪŋ
action,ˈækʃən,
activate,aktywować,uruchamiać|ˈæktɪveɪt
active,"1.  aktywny
 2.  intensywny",energiczny|ˈæktɪv
activist,aktywista,działacz|ˈæktɪvɪst
activity,æˈktɪvɪtɪ,
actor,aktor,ˈæktə
actress,aktorka,ˈæktrəs
actual,"1.  rzeczywisty
 2.  faktyczny",sam|ˈækʧʊəl
actuality,"in actuality 
 - faktycznie",w istocie|właściwie|ˌækʧʊˈælɪtɪ
actually,w istocie,w rzeczy samej|ˈækʧʊəlɪ
acumen,zdolności,żyłka|ˈækju:mən
acute,ostry,əˈkju:t
ad,anno domini,ogłoszenie|roku pańskiego|æd
ad hoc,doraźny,ˌædˈhɒk
adamant,niewzruszony,ˈædəmənt
adams apple,adam's apple,grdyka|jabłko adama|ˌædəmz ˈæpəl
adapt,na),əˈdæpt
adaptability,przystosowalność,əˌdæptəˈbɪlɪtɪ
adaptable,łatwo dostosowujący się,əˈdæptəbəl
adapter,"1.  rozgałęźnik
 2.  zasilacz",adaptor|əˈdæptə
adaptor,"1.  rozgałęźnik
 2.  zasilacz",adapter|əˈdæptə
add,"add.
  adres",æd
adder,żmija,ˈædə
addict,"1.  narkoman
 2.  zapaleniec",ˈædɪkt
addicted,əˈdɪktɪd,
addiction,1.  uzależnienie,"narkomania
 2.  łakomstwo|əˈdɪkʃən"
addictive,powodujący uzależnienie,əˈdɪktɪv
addition,əˈdɪʃən,
additional,dodatkowy,əˈdɪʃənəl
additive,dodatek,przyprawa|ˈædɪtɪv
address,əˈdres,
adept,biegły,zręczny|ˈædept
adequacy,"1.  wystarczającość
 2.  adekwatność",ˈædɪkwəsɪ
adequate,"1.  wystarczający 
 2.  właściwy",ˈædɪkwɪt
adhere,ədˈhɪə,
adherence,przestrzeganie,ədˈhɪərəns
adherent,stronnik,ədˈhɪərənt
adhesion,przyleganie,przylepność|ədˈhi:ʒən
adhesive,ədˈhi:sɪv,
adjacent,sąsiadujący,əˈʤeɪsənt
adjectival,przymiotnikowy,ˌæʤɪkˈtaɪvəl
adjective,przymiotnik,ˈæʤɪktɪv
adjoin,przylegać,stykać się|əˈʤɔɪn
adjourn,"1.  odraczać
 2.  odkładać",əˈʤɜ:n
adjournment,odroczenie,əˈʤɜ:nmənt
adjudged,uznawany,uznawany za|əˈʤʌʤd
adjudicate,wyrokować,əˈʤu:dɪkeɪt
adjunct,ˈæʤʌŋkt,
adjust,regulować,əˈʤʌst
adjustable,dostosowywalny,nastawialny|əˈʤʌstəbəl
adjustment,əˈʤʌstmənt,
adlib,ad-lib,bez przygotowania|ˌædˈlɪb
administer,ədˈmɪnɪstə,
administration,1.  administracja,ədˌmɪnɪˈstreɪʃən
administrative,administracyjny,ədˈmɪnɪstrətɪv
administrator,zarządca,ədˈmɪnɪstreɪtə
admirable,godny podziwu,znakomity|ˈædmərəbəl
admiral,admirał,ˈædmərəl
admiration,podziw,ˌædmɪˈreɪʃən
admire,podziwiać,ədˈmaɪə
admirer,wielbiciel,ədˈmaɪərə
admiring,pełen podziwu,ədˈmaɪərɪŋ
admissible,do przyjęcia,ədˈmɪsəbəl
admission,ədˈmɪʃən,
admit,ədˈmɪt,
admittance,wejście,zezwolenie na wejście|ədˈmɪtəns
admittedly,co prawda,wprawdzie|ədˈmɪtɪdlɪ
admonish,karcić,ədˈmɒnɪʃ
ado,without more,əˈdu:
adolescence,okres dojrzewania,ˌædəˈlesəns
adolescent,nieletni,ˌædəˈlesənt
adopt,"1.  adoptować
 2.  przyjmować",əˈdɒpt
adoption,"1.  adopcja
 2.  przyjmowanie",əˈdɒpʃən
adorable,miły,əˈdɔ:rəbəl
adoration,uwielbienie,ˌædəˈreɪʃən
adore,uwielbiać,əˈdɔ:
adorn,przyozdabiać,əˈdɔ:n
adornment,"1.  ozdoba
 2.  zdobnictwo",ozdabianie|əˈdɔ:nmənt
adrift,dryfujący,w dryfie|əˈdrɪft
adroit,biegły,wprawny|əˈdrɔɪt
adulation,adoracja,czołobitność|ˌæʤʊˈleɪʃən
adult,"1.  dorosły
 2.  dojrzały",əˈdʌlt|ˈædʌlt
adulterate,chrzcić,chrzcić mleko|fałszować|əˈdʌltəreɪt
adultery,cudzołóstwo,zdrada|əˈdʌltərɪ
adulthood,dorosłość,ˈædʌlthʊd
advance,z wyprzedzeniem,ədˈvɑ:ns
advanced,ədˈvɑ:nst,
advancement,ədˈvɑ:nsmənt,
advantage,ədˈvɑ:ntɪʤ,
advantageous,korzystny,ˌædvənˈteɪʤəs
advent,adwent,nadejście|ˈædvent
adventist,adwentysta,ˈædvəntɪst
adventure,przygoda,ədˈvenʧə
adventurer,ədˈvenʧərə,
adventurous,ədˈvenʧərəs,
adverb,przysłówek,ˈædvɜ:b
adverbial,przysłówkowy,ədˈvɜ:bɪəl
adversary,przeciwnik,ˈædvəsərɪ
adverse,niekorzystny,ˈædvɜ:s
advert,ogłoszenie,reklama|ˈædvɜ:t
advertise,ˈædvətaɪz,
advertisement,ogłoszenie,reklama|ədˈvɜ:tɪsmənt
advertiser,osoba firma reklamująca się,osoba reklamująca się|ˈædvətaɪzə
advertising,ogłoszenia,reklama|ˈædvətaɪzɪŋ
advice,rada,ədˈvaɪs
advisable,celowy,sensowny|ədˈvaɪzəbəl
advise,ədˈvaɪz,
adviser,advisor,doradca|ədˈvaɪzə
advisor,adviser,doradca|ədˈvaɪzə
advisory,doradczy,ədˈvaɪzərɪ
advocate,ˈædvəkeɪt,
advt,"advt.
  ogłoszenie",
aerial,ˈeərɪəl,
aerodrome,lotnisko,ˈeərədrəʊm
aeroplane,samolot,ˈeərəpleɪn
aesthetic,estetyczny,esthetic|i:sˈθetɪk
afar,əˈfɑ:,
affable,przyjacielski,życzliwy|ˈæfəbəl
affair,przygoda,əˈfeə
affect,pozować,əˈfekt
affectation,afektacja,ˌæfekˈteɪʃən
affected,afektowany,əˈfektɪd
affection,uczucie,əˈfekʃən
affectionate,pełen uczucia,uczuciowy|əˈfekʃənət
affiliated,afiliowany,przyłączony|əˈfɪlɪeɪtɪd
affinity,1.  bliskość,əˈfɪnɪtɪ
affirm,1.  stwierdzać,əˈfɜ:m
affirmative,1.  twierdzący,əˈfɜ:mətɪv
affix,umocować,əˈfɪks
afflict,əˈflɪkt,
affliction,udręka,əˈflɪkʃən
affluence,dostatek,ˈæflʊəns
affluent,dostatni,majętny|ˈæflʊənt
afford,əˈfɔ:d,
affront,əˈfrʌnt,
afield,əˈfi:ld,
afloat,na powierzchni,əˈfləʊt
afoot,szykowany,əˈfʊt
aforementioned,wyżej wspomniany,əˌfɔ:ˈmenʃənd
aforesaid,wyżej wspomniany,əˈfɔ:sed
afraid,obawiam się,əˈfreɪd
afresh,od nowa,əˈfreʃ
africa,afryka,ˈæfrɪkə
african,"i.    afrykański
ii.    afrykanin",murzyn|ˈæfrɪkən
aftereffect,after-effect,następstwo|skutek późniejszy|ˈɑ:ftərɪfekt
aftermath,pokłosie,ˈɑ:ftəmæθ
afternoon,ɑ:ftəˈnu:n,
aftershave,płyn po goleniu,ˈɑ:ftəʃeɪv
afterthought,ˈɑ:ftəθɔ:t,
afterward,afterwards,później|ˈɑ:ftəwədz
afterwards,afterward,później|ˈɑ:ftəwədz
again,əˈgen,əˈgeɪn
against,əˈgenst,əˈgeɪnst
age,eɪʤ,"okres
 4.  wiek|starość
 3.  wiek"
aged,ˈeɪʤɪd,
ageless,ponadczasowy,ˈeɪʤlɪs
agency,agencja,biuro|ˈeɪʤənsɪ
agenda,rozkład dnia,əˈʤendə
agent,1.  przedstawiciel,"impresario
 2.  czynnik|ˈeɪʤənt"
ageold,age-old,wiekowy|ˌeɪʤˈəʊld
aggravate,"1.  pogarszać
 2.  irytować",ˈægrəveɪt
aggregate,1.  zespół,zbiór|ˈægrɪgət
aggression,"1.  agresywność
 2.  agresja",əˈgreʃən
aggressive,1.  zaczepny,"agresywny
 2.  rzutki|əˈgresɪv"
aggressor,agresor,əˈgresə
aggrieved,zirytowany,əˈgri:vd
aggro,agresja,napastliwość|ˈægrəʊ
aghast,przerażony,əˈgɑ:st
agile,sprawny,ˈæʤaɪl
agility,"1.  zwinność
 2.  sprawność",əˈʤɪlɪtɪ
agitate,1.  agitować,ˈæʤɪteɪt
agitation,"1.  podniecenie
 2.  agitacja",ˌæʤɪˈteɪʃən
agitator,orędownik,ˈæʤɪteɪtə
agm,doroczne walne zgromadzenie,
ago,əˈgəʊ,
agog,podniecony,əˈgɒg
agonize,przemyśliwać,zadręczać się|ˈægənaɪz
agonizing,ˈægənaɪzɪŋ,
agony,cierpienie,ˈægənɪ
agree,əgˈri:,
agreeable,əgˈri:əbəl,
agreement,əgˈri:mənt,
agricultural,ˌægrɪˈkʌlʧərəl,
agriculture,rolnictwo,ˈægrɪˌkʌlʧə
aground,na mieliznie,əˈgraʊnd
ah,ach,no|och
aha,ɑ:ˈhɑ:,
ahead,əˈhed,
ahoy,ahoj,əˈhɔɪ
ai,sztuczna inteligencja,
aid,eɪd,
aide,adiutant,asystent|eɪd
aids,eɪdz,
ail,eɪl,niedomagać
ailment,dolegliwość,ˈeɪlmənt
aim,eɪm,
aimless,bezcelowy,bezsensowny|ˈeɪmlɪs
air,budynek lotów,"eə|nalot
vii.  air terminal|stewardesa
vi.  air raid|terminal lotniczy"
airborne,ˈeəbɔ:n,
airconditioned,air-conditioned,klimatyzowany|ˈeəkənˌdɪʃənd
aircraft,ˈeəkrɑ:ft,
aircraftcarrier,aircraft-carrier,lotniskowiec|ˈeəkrɑ:ft ˌkærɪə
airfield,małe lotnisko,ˈeəfi:ld
airing,1.  wietrzenie,"przewietrzanie
 2.  rozgłaszanie|ˈeərɪŋ"
airless,duszny,ˈeəlɪs
airline,linia lotnicza,ˈeəlaɪn
airliner,samolot pasażerski,ˈeəlaɪnə
airmail,poczta lotnicza,ˈeəmeɪl
airplane,samolot,ˈeəpleɪn
airport,port lotniczy,ˈeəpɔ:t
airship,sterowiec,ˈeəʃɪp
airsick,chory na chorobę lokomocyjną,ˈeəsɪk
airspace,przestrzeń powietrzna,ˈeəspeɪs
airtight,ˈeətaɪt,
airtraffic control,air-traffic control,kontrola lotów|ˌeətræfɪk kənˈtrəʊl
airwaves,fale radiowe,ˈeəweɪvz
airy,"1.  przestronny
 2.  lekkomyślny",niepoważny|ˈeərɪ
aisle,aɪl,nawa|np. w teatrze
ajar,eˈʤɑ:,uchylony
akin,podobny,əˈkɪn
alabama,ˌæləˈbæmə,
alacrity,əˈlækrɪtɪ,
alarm,budzik,əˈlɑ:m|əˈlɑ:m klɒk
alarming,zatrważający,əˈlɑ:mɪŋ
alarmist,"i.    panikarz
ii.    panikarski",əˈlɑ:mɪst
alaska,əˈlæskə,
albania,ælˈbeɪnɪə,
albanian,"i.    albański
ii.    albańczyk",ælˈbeɪnɪən
albeit,choć,ɔ:lˈbi:t
albino,albinos,ælˈbi:nəʊ
album,ˈælbəm,
alcoholic,"i.    alkoholowy
ii.    alkoholik",ˌælkəˈhɒlɪk
alcove,alkowa,nisza|ˈælkəʊv
ale,eɪl,
alert,"i.    ostrzegać 
ii.    uważny",əˈlɜ:t
alevel,a-level,ˈeɪˌlevəl
algeria,algieria,ælˈʤɪərɪə
algerian,algierski,ælˈʤɪərɪən
algorithm,algorytm,ˈælgərɪθəm
alias,"i.    pseudonim
ii.    czyli",ˈeɪlɪəs
alien,ˈeɪlɪən,
alienate,ˈeɪlɪəneɪt,
alienation,"1.  wyobcowanie
 2.  niechęć",ˌeɪlɪəˈneɪʃən
alight,əˈlaɪt,
align,1.  wyrównywać,"porządkować
 2.  sprzymierzać się|əˈlaɪn"
alignment,1.  wyrównanie,"porządkowanie
 2.  sprzymierzenie się|əˈlaɪnmənt"
alike,po równi,əˈlaɪk
alimony,alimenty,ˈælɪmənɪ
alive,być ożywionym,əˈlaɪv
alkali,zasada,ˈælkəlaɪ
all,co robisz,ɔ:l|ˌɒl:ˈraɪt|ˌɔ:l ˈklɪə
allah,allach,ˈælə
allay,əˈleɪ,
allegation,domniemanie,ˌælɪˈgeɪʃən
allege,domniemywać,əˈleʤ
alleged,domniemany,əˈleʤd
allegiance,lojalność,oddanie|əˈli:ʤəns
allegorical,alegoryczny,ˌælɪˈgɒrɪkəl
allegory,alegoria,ˈælɪgərɪ
alleluia,alleluja,ˌælɪˈlu:jə
allergic,alergiczny,uczulony|əˈlɜ:ʤɪk
allergy,alergia,uczulenie|ˈæləʤɪ
alleviate,əˈli:vɪeɪt,
alleviation,zelżenie,zmniejszenie|əˌli:vɪˈeɪʃən
alley,dróżka,ˈælɪ
alliance,przymierze,współpraca|əˈlaɪəns
allied,"1.  sprzymierzony
 2.  podobny",əˈlaɪd|ˈælaɪd
alligator,aligator,ˈælɪgeɪtə
allin,all-in,całkowity|ˌɔ:lˈɪn
allnight,all-night,całonocny|ˌɔ:lˈnaɪt
allocate,przeznaczać,przydzielać|ˈæləkeɪt
allocation,przydział,ˌæləˈkeɪʃən
allot,przydzielić,əˈlɒt
allotment,"ogródek
 2.  przydział",əˈlɒtmənt
allout,all-out,bezpardonowy|ˌɔ:lˈaʊt
allow,mieć pozwolenie,əˈlaʊ
allowable,dopuszczalny,əˈlaʊəbəl
allowance,əˈlaʊəns,
alloy,stop,ˈælɔɪ
allpowerful,all-powerful,wszechpotężny|ˌɔ:lˈpaʊəfʊl
allround,all-round,wszechstronny|ˌɔ:lˈraʊnd
allspice,ziele angielskie,ˈɔ:lspaɪs
allude,robić aluzje,əˈlu:d
allure,əˈlʊə,
allusion,aluzja,əˈlu:ʒən
almighty,ɔ:lˈmaɪtɪ,
almond,migdał,ˈɑ:mənd
almost,prawie,ˈɔ:lməʊst
aloft,w górze,əˈlɒft
alone,na własną rękę,əˈləʊn
along,əˈlɒŋ,
alongside,əˌlɒŋˈsaɪd,
aloof,1.  samotniczy,"powściągliwy
 2.  z dala|əˈlu:f"
aloud,głośno,na głos|əˈlaʊd
alphabet,alfabet,ˈælfəbet
alphabetical,alfabetyczny,ˌælfəˈbetɪkəl
alphanumeric,alfanumeryczny,literowo-cyfrowy|ˌælfənju:ˈmerɪk
alpine,alpejski,wysokogórski|ˈælpaɪn
already,już,ɔ:lˈredɪ
also,także,ˈɔ:lsəʊ
altar,ołtarz,ˈɔ:ltə
alter,1.  zmieniać się,"zmieniać
 2.  przerabiać|ˈɔ:ltə"
alteration,ˌɔ:ltəˈreɪʃən,
altercation,zwada,ˌɔ:ltəˈkeɪʃən
alternately,na przemian,ɔ:lˈtɜ:nətlɪ
alternating,zmienny,ˈɔ:ltəneɪtɪŋ
alternation,następstwo,ˌɔ:ltəˈneɪʃən
alternative,ɔ:lˈtɜ:nətɪv,
although,chociaż,ɔ:lˈðəʊ
altitude,wysokość,ˈæltɪtju:d
alto,ˈæltəʊ,
altogether,ˌɔ:ltəˈgeðə,
always,zawsze,ˈɔ:lweɪz
am,ante meridiem,
ama,amerykańskie towarzystwo medyczne,
amalgamate,łączyć się,əˈmælgəmeɪt
amass,zgromadzić,əˈmæs
amateur,"amator
ii.    domorosły",i.    hobbista|nieprofesjonalny|ˈæmətə
amateurish,domorosły,nieprofesjonalny|ˈæmətərɪʃ
amaze,zadziwiać,əˈmeɪz
amazement,zdumienie,əˈmeɪzmənt
amazing,zdumiewający,əˈmeɪzɪŋ
amazon,ˈæməzən,
ambassador,ambasador,æmˈbæsədə
amber,"i.    bursztyn
ii.    bursztynowy",miodowy|ˈæmbə
ambidextrous,oburęczny,ˌæmbɪˈdekstrəs
ambiguity,niejednoznaczność,ˌæmbɪˈgju:ɪty
ambiguous,dwuznaczny,niejednoznaczny|æmˈbɪgjʊəs
ambition,æmˈbɪʃən,
ambitious,"1.  przebojowy
 2.  ambitny",æmˈbɪʃəs
ambivalent,ambiwalentny,dwuznaczny|æmˈbɪvələnt
amble,ˈæmbəl,
ambulance,ambulans,karetka|ˈæmbjʊləns
ambush,ˈæmbʊʃ,
ameliorate,ulepszać,əˈmi:lɪəreɪt
amen,ɑ:ˈmen,
amenable,"1.  skłonny 
 2.  podlegający",əˈmi:nəbəl
amend,1.  poprawiać,əˈmend
amendment,poprawka,əˈmendmənt
amenity,udogodnienie,wygoda|əˈmi:nɪtɪ
america,ameryka,əˈmerɪkə
american,"i.    amerykański
ii.    amerykanin",əˈmerɪkən
amiable,przyjazny,ˈeɪmɪəbəl
amicable,"1.  przyjacielski
 2.  polubowny",ˈæmɪkəbəl
amid,amidst,pośród|əˈmɪd
amidst,amid,pośród|əˈmɪd
amiss,əˈmɪs,
ammonia,amoniak,əˈməʊnɪə
ammunition,amunicja,ˌæmjʊˈnɪʃən
amnesia,amnezja,æmˈni:zɪə
amnesty,amnestia,ˈæmnəstɪ
among,amongst,pomiędzy|əˈmʌŋ
amongst,among,pomiędzy|əˈmʌŋ
amoral,amoralny,ˌeɪˈmɒrəl
amorous,erotyczny,kochliwy|ˈæmərəs
amorphous,amorficzny,bezkształtny|əˈmɔ:fəs
amount,być równoznacznym,əˈmaʊnt
amp,amper,ampere|ˈæmp
ampere,amp,amper|ˈæmp
amphibian,płaz,æmˈfɪbɪən
amphibious,ziemno-wodny,æmˈfɪbɪəs
amphitheatre,amfiteatr,ˈæmfɪθɪətə
ample,ˈæmpəl,
amplification,"1.  wzmocnienie
 2.  wyjaśnienie",ˌæmplɪfɪˈkeɪʃən
amplifier,wzmacniacz,ˈæmplɪfaɪə
amplify,ˈæmplɪfaɪ,
amply,obszernie,ˈæmplɪ
amputate,amputować,ˈæmpjʊteɪt
amputation,amputacja,ˌæmpjʊˈteɪʃən
amuse,zabawiać,əˈmju:z
amused,rozbawiony,əˈmju:zd
amusement,əˈmju:zmənt,
amusing,zabawny,əˈmju:zɪŋ
anachronism,anachronizm,əˈnækrənɪzəm
anachronistic,anachroniczny,əˌnækrəˈnɪstɪk
anaemia,anemia,əˈni:mɪə
anaemic,anemic,əˈni:mɪk
anaesthesia,anesthesia,ˌænəsˈθi:zɪə
anaesthetic,anesthetic,środek znieczulający|ˌænəsˈθetɪk
anal,odbytowy,ˈeɪnəl
analgesic,środek przeciwbólowy,ˌænəlˈʤi:zɪk
analogous,analogiczny,əˈnæləgəs
analogy,analogia,əˈnæləʤɪ
analyse,analizować,analyze|ˈænəlaɪz
analysis,əˈnælɪsɪs,
analyst,ˈænəlɪst,
analytic,analityczny,analytical|ˌænəˈlɪtɪk
analytical,analityczny,analytic|ˌænəˈlɪtɪk
analyze,analizować,analyse|ˈænəlaɪz
anarchist,"i.    anarchista
ii.    anarchistyczny",ˈænəkɪst
anarchy,anarchia,ˈænəkɪ
anathema,əˈnæθɪmə,
anatomical,anatomiczny,ˌænəˈtɒmɪkəl
anatomy,"1.  anatomia
 2.  struktura",əˈnætəmɪ
ancestor,przodek,ˈænsəstə
ancestral,rodowy,ænˈsestrəl
ancestry,pochodzenie,ród|ˈænsəstrɪ
anchor,ˈæŋkə,
anchovy,sardela,ˈænʧəvɪ
ancient,ˈeɪnʃənt,
ancillary,"1.  pomocniczy
 2.  podrzędny",ænˈsɪlərɪ
and,ænd,ən|ənd
